,50 B off 1,,,,,50 B off 2,,,,,50 B on 1,,,,,50 B on 2,,,,,50 Z off,,,,,50 Z on 1,,,,,50 Z on 2,,,,
,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK,BUS,MOTC,CAR,DELIV,TRUCK
745,0,1,39,4,3,0,1,25,2,4,0,0,2,0,0,0,1,23,2,4,0,1,25,2,4,0,1,24,2,5,0,2,42,4,4
750,0,1,37,4,4,0,1,24,3,6,0,0,2,0,0,0,1,22,2,4,0,1,24,3,5,0,1,23,3,6,0,1,40,4,5
755,0,1,38,4,2,0,1,25,2,3,0,0,2,0,0,0,1,23,2,3,0,1,25,2,3,0,1,24,2,4,0,2,41,4,3
760,0,1,41,4,3,0,1,26,3,5,0,0,2,0,0,0,1,24,2,4,0,1,26,3,5,0,1,25,3,5,0,1,44,4,4
765,0,1,43,5,3,0,1,28,3,4,0,0,3,0,0,0,1,25,3,3,0,1,28,3,4,0,1,27,3,4,0,2,46,6,3
770,0,2,44,6,5,0,1,29,4,7,0,0,3,0,0,0,1,26,3,5,0,1,29,4,7,0,1,28,4,7,0,2,48,6,6
775,0,1,46,6,4,0,1,30,4,6,0,0,3,0,0,0,1,27,3,5,0,1,30,4,6,0,1,29,3,7,0,2,50,6,5
780,0,2,46,5,4,0,1,30,3,6,0,0,3,0,0,0,1,27,3,5,0,1,30,3,6,0,1,29,3,7,0,2,50,5,5
785,0,1,50,6,4,0,1,33,4,6,0,0,3,0,0,0,1,30,4,5,0,1,33,4,6,0,1,31,4,7,0,2,54,7,5
790,0,1,49,7,4,0,1,32,5,6,0,0,3,0,0,0,1,29,4,5,0,1,32,5,6,0,1,31,4,7,0,2,53,8,5
795,0,1,49,7,5,0,1,32,4,7,0,0,3,0,0,0,1,29,4,6,0,1,32,4,7,0,1,31,4,8,0,1,53,7,6
800,0,2,50,6,5,0,1,33,4,8,0,0,3,0,0,0,1,30,4,6,0,1,33,4,7,0,1,31,4,8,0,2,54,7,6
805,0,1,47,6,5,0,1,30,4,7,0,0,3,0,0,0,1,28,4,5,0,1,30,4,7,0,1,29,4,7,0,1,50,7,6
810,0,1,43,6,5,0,1,28,4,7,0,0,3,0,0,0,1,26,4,6,0,1,28,4,7,0,1,27,4,8,0,1,47,7,6
815,0,1,47,6,5,0,1,30,4,8,0,0,3,0,0,0,1,28,4,6,0,1,30,4,8,0,1,29,4,9,0,2,50,7,7
820,0,1,46,6,5,0,1,30,4,7,0,0,3,0,0,0,1,27,4,5,0,1,30,4,7,0,1,28,4,7,0,1,49,7,6
825,0,1,46,6,5,0,1,30,4,7,0,0,3,0,0,0,1,27,4,6,0,1,30,4,7,0,1,29,4,8,0,1,49,7,6
830,0,1,44,6,5,0,1,28,4,7,0,0,3,0,0,0,1,26,4,5,0,1,28,4,7,0,1,27,4,7,0,2,47,7,6
835,0,1,46,6,5,0,1,30,4,7,0,0,3,0,0,0,1,27,3,6,0,1,30,4,7,0,1,29,4,8,0,1,49,6,6
840,0,1,45,6,4,0,1,29,4,6,0,0,3,0,0,0,1,27,3,4,0,1,29,4,5,0,1,28,3,6,0,1,48,6,5
845,0,1,44,6,5,0,1,29,4,7,0,0,3,0,0,0,1,26,4,6,0,1,29,4,7,0,1,28,4,8,0,2,48,7,6
